Unique.ID,NA0012483535.IgG,NA0012483906.IgG,NA0012483927.IgG,NA0012484478.IgG,NA0012484499.IgG,NA0012484752.IgG,NA0012484765.IgG,NA0012483883.IgG,NA0012483591.IgG,NA0012483754.IgG,NA0012483419.IgG,NA0012483315.IgG,NA0012483311.IgG,NA0012483533.IgG,NA0012483544.IgG,NA0012484280.IgG,NA0012484311.IgG,NA0012484502.IgG,NA0012484569.IgG,NA0012484790.IgG,NA0012484774.IgG,NA0012483599.IgG,NA0012483640.IgG,NA0012483771.IgG,NA0012483450.IgG,NA0012483434.IgG,NA0012483665.IgG,NA0012483662.IgG,NA0012483506.IgG,NA0012484306.IgG,NA0012484290.IgG,NA0012484575.IgG,NA0012484591.IgG,NA0012484413.IgG,NA0012483568.IgG,NA0012483616.IgG,NA0012483847.IgG,NA0012483431.IgG,NA0012483435.IgG,NA0012483356.IgG,NA0012483684.IgG,NA0012483685.IgG,NA0012483529.IgG,NA0012484462.IgG,NA0012484472.IgG,NA0012484589.IgG,NA0012484753.IgG,NA0012483576.IgG,NA0012483571.IgG,NA0012483868.IgG,NA0012483872.IgG,NA0012483783.IgG,NA0012483775.IgG,NA0012483340.IgG,NA0012483326.IgG,NA0012483936.IgG,NA0012483955.IgG,NA0012483900.IgG,NA0012483963.IgG,NA0012484506.IgG,NA0012483948.IgG,NA0012484756.IgG,NA0012483967.IgG,NA0012483873.IgG,NA0012483793.IgG,NA0012483632.IgG,NA0012483808.IgG,NA0012483410.IgG,NA0012483816.IgG,NA0012483319.IgG,NA0012483833.IgG,NA0012483981.IgG,NA0012483821.IgG,NA0012483369.IgG,NA0012484009.IgG,NA0012484026.IgG,NA0012484107.IgG,NA0012484106.IgG,NA0012486630.IgG,NA0012486631.IgG,NA0012485588.IgG,NA0012485572.IgG,NA0012486098.IgG,NA0012486108.IgG,NA0012485736.IgG,NA0012486252.IgG,NA0012483535.IgA,NA0012483906.IgA,NA0012483927.IgA,NA0012484478.IgA,NA0012484499.IgA,NA0012484752.IgA,NA0012484765.IgA,NA0012483883.IgA,NA0012483591.IgA,NA0012483754.IgA,NA0012483419.IgA,NA0012483315.IgA,NA0012483311.IgA,NA0012483533.IgA,NA0012483544.IgA,NA0012484280.IgA,NA0012484311.IgA,NA0012484502.IgA,NA0012484569.IgA,NA0012484790.IgA,NA0012484774.IgA,NA0012483599.IgA,NA0012483640.IgA,NA0012483771.IgA,NA0012483450.IgA,NA0012483434.IgA,NA0012483665.IgA,NA0012483662.IgA,NA0012483506.IgA,NA0012484306.IgA,NA0012484290.IgA,NA0012484575.IgA,NA0012484591.IgA,NA0012484413.IgA,NA0012483568.IgA,NA0012483616.IgA,NA0012483847.IgA,NA0012483431.IgA,NA0012483435.IgA,NA0012483356.IgA,NA0012483684.IgA,NA0012483685.IgA,NA0012483529.IgA,NA0012484462.IgA,NA0012484472.IgA,NA0012484589.IgA,NA0012484753.IgA,NA0012483576.IgA,NA0012483571.IgA,NA0012483868.IgA,NA0012483872.IgA,NA0012483783.IgA,NA0012483775.IgA,NA0012483340.IgA,NA0012483326.IgA,NA0012483936.IgA,NA0012483955.IgA,NA0012483900.IgA,NA0012483963.IgA,NA0012484506.IgA,NA0012483948.IgA,NA0012484756.IgA,NA0012483967.IgA,NA0012483873.IgA,NA0012483793.IgA,NA0012483632.IgA,NA0012483808.IgA,NA0012483410.IgA,NA0012483816.IgA,NA0012483319.IgA,NA0012483833.IgA,NA0012483981.IgA,NA0012483821.IgA,NA0012483369.IgA,NA0012484009.IgA,NA0012484026.IgA,NA0012484107.IgA,NA0012484106.IgA,NA0012486630.IgA,NA0012486631.IgA,NA0012485588.IgA,NA0012485572.IgA,NA0012486098.IgA,NA0012486108.IgA,NA0012485736.IgA,NA0012486252.IgA,SFCOVC001.IgG,SFCOVC002.IgG,MN2909.IgG,JT1034.IgG,SFCOVC001.IgA,SFCOVC002.IgA,MN2909.IgA,JT1034.IgA,NA0012486560.IgG,NA0012486414.IgG,NA0012485598.IgG,NA0012486261.IgG,NA0012485765.IgG,NA0012485770.IgG,NA0012484121.IgG,NA0012485733.IgG,NA0012486658.IgG,NA0012485744.IgG,NA0012485589.IgG,NA0012485997.IgG,NA0012485604.IgG,NA0012486244.IgG,NA0012485726.IgG,NA0012484124.IgG,NA0012486397.IgG,NA0012486560.IgA,NA0012486414.IgA,NA0012485598.IgA,NA0012486261.IgA,NA0012485765.IgA,NA0012485770.IgA,NA0012484121.IgA,NA0012485733.IgA,NA0012486658.IgA,NA0012485744.IgA,NA0012485589.IgA,NA0012485997.IgA,NA0012485604.IgA,NA0012486244.IgA,NA0012485726.IgA,NA0012484124.IgA,NA0012486397.IgA,H002020302417.IgA,H002020302499.IgA,H002020302612.IgA,H002020302640.IgA,H002020302417.IgG,H002020302499.IgG,H002020302612.IgG,H002020302640.IgG,W12152080182600FPre13.IgG,W12152080182600FPre13.IgA,Ortho.1.IgA,Ortho.2.IgA,Ortho.3.IgA,Ortho.4.IgA,Ortho.6.IgA,Ortho.7.IgA,Ortho.8.IgA,Ortho.9.IgA,Ortho.10.IgA,Ortho.11.IgA,Ortho.12.IgA,Ortho.13.IgA,Ortho.14.IgA,Ortho.15.IgA,Ortho.16.IgA,Ortho.17.IgA,Ortho.18.IgA,Ortho.19.IgA,Ortho.20.IgA,Ortho.1.IgG,Ortho.2.IgG,Ortho.3.IgG,Ortho.4.IgG,Ortho.6.IgG,Ortho.7.IgG,Ortho.8.IgG,Ortho.9.IgG,Ortho.10.IgG,Ortho.11.IgG,Ortho.12.IgG,Ortho.13.IgG,Ortho.14.IgG,Ortho.15.IgG,Ortho.16.IgG,Ortho.17.IgG,Ortho.18.IgG,Ortho.19.IgG,Ortho.20.IgG
SARS-CoV-2_NP.1,181,40.5,0,0,87,0,22,0,0,0,167.5,0,0,0,0,0,20.5,0,0,31,0,295.5,23.5,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,170.5,0,0,0,0,0,0,83,249.5,0,0,0,0,0,0,0,0,0,0,0,0,211.5,0,0,33,0,0,0,0,0,294.5,15.5,29.5,0,0,0,0,0,0,0,0,0,21.5,47,0,0,75.5,0,0,0,0,421,0,0,0,0,0,0,0,0,0,106,309,46,0,257.5,0,0,3860.5,0,0,0,0,0,0,0,0,0,0,0,0,0,505,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,10204,13430.5,4424,375,34961.5,2628.5,2801,65,0,0,63.5,312,0,108,4405.5,0,0,0,17.5,48,110.5,0,0,0,0,493,0,414.5,0,0,18116.5,0,0,0,0,167,0,0,0,0,0,0,61,190.5,0,3328.5,8804,829.5,1366.5,11899,0,9087.5,0,0,219.5,753.5,2611,19133.5,5849.5,7264,11491,32656,959,29580.5,12947.5,9568.5,3384.5,930.5,23571,0,0,0,0,0,0,11150.5,10563.5,2263,14783.5,19446,3085.5,16477,7154,7459.5,1262.5,14520.5,0,1483,0
SARS-CoV-2_NP.2,52,1.5,0,0,78,0,78,0,0,0,0,0,0,40.5,0,0,129.5,0,0,0,0,0,44.5,0,0,0,0,222,0,78.5,0,0,0,0,0,0,0,5,0,0.5,0,0,0,0,0,52,68,236.5,0,0,0,0,0,0,0,0,0,0,0,0,337.5,13,0,0,0,0,0,0,0,376.5,0,55.5,0,0,0,0,0,0,0,0,0,50.5,80,0,0,235.5,0,81,0,0,0,0,105.5,0,0,0,0,0,0,0,0,666,387,0,0,0,0,2765.5,0,93,0,0,0,224.5,0,0,0,0,0,0,0,99,0,81,0,0,0,0,0,0,0,0,0,39,0,0,0,286.5,0,0,0,427.5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,230.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,11511,16155.5,6435,132,28220.5,1938.5,4339,230,0,0,114.5,0,0,0,3522.5,0,0,0,0,0,0,0,31,0,0,0,0,212.5,169,0,19052.5,0,0,0,0,0,0,0,0,0,0,0,164,0,0,4050.5,5779,576.5,249.5,9053,0,10459.5,0,0,2053.5,623.5,1715,21363.5,17350.5,4141,3801,28987,2945,23359.5,8641.5,10002.5,1338.5,0,18001,0,643,0,0,0,0,9730.5,11040.5,5229,13408.5,17394,2574.5,15897,5249,6317.5,2918.5,10129.5,80.5,1316,0
SARS-CoV-2_NP.3,2,54.5,37,0,23,0,0,0,0,0,690.5,279.5,0,94.5,0,0,0,80.5,0,257,0,58.5,305.5,0,0,0,0,355,0,13.5,0,0,0,0,0,127.5,0,0,0,186.5,157.5,0,0,0,0,172,0,549.5,0,51.5,0,97,0,0,11.5,134.5,0,0,0,0,628.5,0,0,125,0,0,0,0,0,193.5,50.5,72.5,5.5,412.5,0,0,0,0,0,0,21,0,100,0,0,210.5,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,625,184,0,114.5,0,0,3766.5,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,167,0,0,0,0,0,0,0,0,0,1731,6228,17965.5,5571,215,19252.5,8679.5,3890,54,0,0,0,770,382,66,1669.5,0,0,0,368.5,0,324.5,0,123,0,0,81,0,0,400,0,17927.5,0,0,0,0,0,0,0,0,0,0,0,0,862.5,0,4301.5,4105,1527.5,761.5,10320,0,5878.5,350,0,1489.5,1576.5,1647,15259.5,13583.5,7129,5428,26217,2868,26477.5,16250.5,10332.5,2418.5,585.5,20025,0,0,0,0,0,0,7560.5,4919.5,4346,16232.5,17146,3921.5,11688,7811,6769.5,2164.5,13895.5,623.5,3505,418
SARS-CoV-2_NP.4,0,147.5,44,0,28,0,0,0,0,0,738.5,394.5,0,172.5,21.5,14.5,80.5,50.5,0,301,0,220.5,366.5,43.5,22,0,0,656,0,93.5,60,0,0,0,0,580.5,0,95,0,95.5,132.5,0,0,0,0,209,196,688.5,0,112.5,0,392,0,0,0,146.5,0,0,0,0,1704.5,289,0,68,0,0,0,0,0,207.5,2.5,131.5,59.5,956.5,0,0,0,0,0,0,280,95.5,96,0,0,213.5,0,126,0,36,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,3109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,0,0,0,0,3461.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,8414,16599.5,11013,373,22151.5,10440.5,4449,522,0,79,371.5,382,398,559,2575.5,198,0,0,338.5,209,332.5,11,207,0,0,273,0,371.5,0,0,23394.5,0,0,0,0,151,529,0,0,0,0,0,235,762.5,0,9312.5,12709,1906.5,908.5,12941,0,7399.5,0,0,1253.5,0,2449,20347.5,9860.5,11235,6249,30571,5144,25242.5,15487.5,13362.5,5018.5,1512.5,20321,746.5,517,0,0,0,0,17770.5,9940.5,5800,23113.5,17462,10427.5,22511,9240,10438.5,5385.5,16620.5,805.5,12345,392
"SARS-CoV-2_S1, (Fc Tag).1",2156,2677.5,1986,4203,874,6005,1698,3413.5,1086,4739.5,6698.5,5193.5,3173.5,3930.5,1314.5,2828.5,2879.5,1219.5,1983,2721,2100.5,1883.5,1793.5,4222.5,3274,1178,4239.5,677,2722,3100.5,4149,1643.5,1568.5,3485.5,2370,1464.5,4095.5,3143,3686.5,1539.5,3022.5,5025,4474,5243.5,4473,2678,4730,4095.5,2372.5,4922.5,3920,5831,4183.5,2548.5,2037.5,3918.5,5482,3447.5,711.5,3566,2885.5,1818,3777,3629,1072,1558,2078.5,2896,2962.5,3812.5,2271.5,4917.5,3163.5,6131.5,3883.5,4296,1836,3129.5,4967,3493,3184,1984.5,4100,3605.5,2061,6023.5,0,566,9.5,0,373,2678,80.5,0,0,379,1022.5,440,0,0,0,747,430,0,20.5,341,400.5,201.5,80,366,688,0,2211.5,0,0,1115,508.5,9,0,77.5,0,0,25,331,1589.5,0,268,0,545,658,463,0,294,147,0,0,0,413.5,0,0,0,136.5,545,0,0,0,0,0,83,0,450,0,0,0,502,425.5,0,476.5,124,2116.5,572,1545,0,457,1266,0,0,0,556,0,0,821,5223,9932,5903.5,12186,865,741.5,0,1574,3998,3326,4027,2006.5,3561,3211,5189,4095.5,6151,2816,3005.5,6063.5,6004,3630.5,1629,2622,3825.5,640,544,0,109.5,620,0,831.5,1717.5,0,735,2568.5,215,0,0,0,1338,37,0,290,130.5,0,8861.5,9576,3773.5,4672.5,8469,839.5,448.5,0,0,0,0,0,1009.5,176.5,0,156,223,1622,479.5,2454.5,17.5,1730.5,0,661,0,6910,6607,7530,6025,3636,2312.5,4705.5,6069,10793.5,18256,4703.5,10585,7831,14068.5,6467.5,12921.5,5185.5,4669,3260
"SARS-CoV-2_S1, (Fc Tag).2",2804,3789.5,935,4466,2157,1889,605,4137.5,1387,4305.5,4376.5,4925.5,6845.5,3789.5,4532.5,3149.5,9887.5,1161.5,2776,3016,2706.5,1774.5,1804.5,4168.5,4566,2348,5064.5,1940,3052,4497.5,4330,6017.5,1836.5,1908.5,2389,2200.5,3673.5,4379,3296.5,2018.5,2754.5,3896,3664,5439.5,4926,6069,5179,4600.5,3442.5,6123.5,4681,6596,5591.5,7378.5,2259.5,5847.5,5332,2842.5,3696.5,5237,3845.5,2918,4030,3924,2130,2204,1877.5,3173,4621.5,4614.5,2042.5,5218.5,3350.5,3261.5,4419.5,5446,3242,2394.5,4931,2959,5041,3501.5,3626,4228.5,4921,6737.5,0,660,0,0,633,0,72.5,0,0,0,0,0,0,0,520,230,560,0,282.5,0,156.5,275.5,0,306,1673,919.5,991.5,357.5,0,558,570.5,3509,338.5,0,0,292,803,37,1888.5,0,0,0,1300,0,266,0,0,0,430,0,0,315.5,0,283.5,0,660.5,0,0,0,310.5,187.5,178.5,0,620,2022,0,0,963,2029,555.5,0,1136.5,582,0,914,4106,0,0,504,0,0,0,0,0,0,30,3255,5371,7837.5,6182,25,64.5,880.5,771,3656,6196,3756,3512.5,5957,5286,1983,3828.5,4340,5231,1525.5,5267.5,8402,4705.5,1955,3161,4417.5,0,1030,0,25.5,241,309.5,690.5,4578.5,0,1655,2270.5,0,645,0,0,3490,1398,86,1265,1065.5,564.5,12410.5,7902,5289.5,4824.5,8669,742.5,163.5,0,4908,526.5,0,221,551.5,694.5,3345,726,587,2203,593.5,4523.5,394.5,2004.5,0,633,0,2269,4778,10529,8701,6868,3911.5,5218.5,8597,25173.5,12226,4225.5,10484,12582,16592.5,7028.5,10460.5,5846.5,3292,3227
"SARS-CoV-2_S1, (Fc Tag).3",2102,3511.5,2576,1646,1400,6280,1843,1369.5,1815,5502.5,6922.5,5671.5,2773.5,1922.5,2439.5,2885.5,3912.5,1882.5,1100,2262,2432.5,2002.5,2610.5,2835.5,4746,2404,5540.5,1915,6561,4705.5,4481,2194.5,4531.5,2692.5,2395,2943.5,6501.5,4888,4388.5,1935.5,3218.5,6614,2775,4684.5,5274,3382,4248,4602.5,2986.5,5003.5,3952,6444,4489.5,3471.5,2602.5,5756.5,6176,4506.5,2256.5,3697,3635.5,2315,3197,2163,1955,1188,2099.5,2653,3673.5,4212.5,1717.5,4638.5,4038.5,3216.5,4534.5,4722,3038,1336.5,2469,3521,3714,1638.5,2681,4672.5,2060,6044.5,0,593,0,0,365,2634,0,0,0,0,346.5,471,0,0,0,239,284,0,0,174,535.5,432.5,403,452,3604,1284.5,3142.5,490.5,2125,724,311.5,626,654.5,41.5,0,1445,1103,500,3266.5,0,916,781,0,601,400,0,331,294,1074,0,0,423.5,135,6.5,0,273.5,152,0,0,0,656.5,191.5,0,0,1876,0,0,0,1363,560.5,0,318.5,477,0,657,1248,93,0,440,0,8.5,0,422,0,6.5,0,4152,13957,17628.5,8477,727,1984.5,0,1372,3499,5634,1587,2111.5,3863,3293,1652,3301.5,2061,5600,59.5,5443.5,7563,5840.5,1863,3352,1741.5,0,382,0,0,551,30.5,0,3545.5,0,1570,1489.5,566,639,0,0,1656,0,0,1109,56.5,0,10828.5,10055,3625.5,3337.5,8512,988.5,2875.5,192,0,1120.5,0,350,1299.5,1111.5,2170,0,387,2126,1563.5,4493.5,1391.5,3000.5,0,145,0,14456,16344,3428,15515,3553,8870.5,3088.5,13453,24715.5,18303,9776.5,8919,16406,19381.5,12666.5,9891.5,5616.5,3132,6590
"SARS-CoV-2_S1, (Fc Tag).4",1449,2988.5,2540,1354,674,5540,1737,1613.5,1335,1969.5,4568.5,2699.5,5247.5,2319.5,2485.5,2638.5,6452.5,1605.5,1089,1213,1057.5,1801.5,1532.5,3822.5,1628,1467,5543.5,2120,1360,4791.5,7057,4377.5,1658.5,3416.5,2101,1639.5,4340.5,6091,4739.5,1589.5,3172.5,5182,6492,5634.5,5738,2938,1740,3003.5,3272.5,3790.5,3103,7774,7827.5,5783.5,2681.5,6001.5,5538,2818.5,3921.5,3915,4249.5,2709,1084,3744,1704,1524,1361.5,2408,5426.5,2302.5,1970.5,4320.5,3733.5,6574.5,4472.5,7167,1889,4081.5,2541,3555,3760,4044.5,3966,4496.5,5669,4878.5,0,405,383.5,174,413,2103,0,0,0,0,202.5,289,0,0,0,380,1031,0,124.5,290,0,653.5,353,93,0,348.5,2443.5,221.5,0,682,1348.5,237,0,0,0,477,504,0,3827.5,0,394,0,4487,564,1424,251,0,379,763,0,0,540.5,1774,0,0,599.5,175,0,2556.5,0,710.5,0,0,0,1467,0,0,0,4163,83.5,206,0,38,1242.5,110,6822,0,431,490,0,0,0,766,0,41.5,0,3219,10193,14824.5,6567,0,783.5,1792.5,47,3128,2952,2199,4377.5,7184,1925,1252,6620.5,4498,2355,0,5976.5,8600,3308.5,1062,1780,3725.5,0,276,0,0,38,0,0,5653.5,0,351,828.5,50,493,0,0,0,353,402,291,1471.5,553.5,9047.5,7564,6872.5,7961.5,9208,524.5,1293.5,0,0,166.5,0,2921,840.5,999.5,3629,936,682,2736,946.5,4246.5,177.5,5011.5,52.5,1034,387.5,10406,8612,13960,11514,4227,7699.5,6835.5,9945,24498.5,24272,8310.5,11406,10508,14843.5,7963.5,11005.5,5304.5,6185,5702
"SARS-CoV-2_S1, (His Tag).1",394,42.5,0,1303,0,1773,20,0,0,0,0,0,660.5,0,0,82.5,0,0,0,0,36.5,0,0,0,0,243,1324.5,62,1118,0,0,1848.5,317.5,0,0,0,0,0,231.5,0,0,0,168,151.5,313,0,0,0,0,128.5,0,271,19.5,0,0,0,239,0,0,0,14.5,0,0,0,0,0,0,0,414.5,0,0,90.5,54.5,0,131.5,0,0,0,0,0,58,0,0,0,218,0,0,0,0,0,0,1360,0,0,0,0,31.5,55,0,0,0,0,0,0,0,0,0,0,77,0,723,197.5,1027.5,59.5,0,375,0,3883,0,0,0,460,0,164,1964.5,0,0,0,1699,460,0,343,0,289,0,0,0,100.5,0,0,0,0,0,0,0,0,0,0,0,49,203,0,0,238,928,0,0,471.5,42,0,168,0,0,0,0,0,0,0,451,0,179.5,495,22,1338,4537.5,2527,523,0,0,0,141,0,0,114.5,120,0,112,297.5,0,0,0,45.5,46,0,0,0,5.5,0,0,0,0,127,0,506.5,4694.5,0,0,789.5,0,0,0,0,3495,0,0,0,0,101.5,1455.5,0,0,41.5,653,0,13.5,0,0,0,0,0,825.5,244.5,0,0,0,920,0,819.5,0,2303.5,0,685,91.5,308,0,0,48,0,66.5,658.5,418,2332.5,3538,0,1858,484,2269.5,0,6141.5,516.5,70,0
"SARS-CoV-2_S1, (His Tag).2",129,0,0,2614,0,1568,0,0,0,313.5,0,0,891.5,0,0,251.5,96.5,0,0,18,113.5,0,0,0,0,0,1218.5,0,705,6.5,52,1616.5,482.5,0,0,0,0,0,188.5,0,0,691,176,344.5,318,0,0,0,0,312.5,0,337,29.5,0,0,42.5,499,0,0,142,52.5,52,0,0,0,415,0,113,611.5,0,0,84.5,31.5,72.5,371.5,474,0,162.5,0,0,100,0,0,0,164,0,0,380,0,41,0,695,0,0,0,0,0,0,0,0,0,132,0,0,174.5,0,0,484.5,0,181,529,494.5,0,665.5,0,558,0,306,90.5,0,0,0,610,198,783.5,0,0,640,0,0,0,0,0,0,136,0,0,0,124,0,0,168.5,0,0,1053.5,0,0,0,66,0,111,0,0,0,1566,0,61,94.5,0,0,184,1717,0,0,0,0,0,0,0,0,0,88,0,481,3965.5,3622,283,0,0,1701,195,0,0,287.5,0,370,91,259.5,0,0,0,0,0,111.5,0,166,0,0,0,0,44.5,0,0,402.5,2101.5,0,0,2930.5,0,0,0,0,4234,0,0,0,0,0,2431.5,0,75.5,13.5,647,0,0,0,0,0.5,0,341,1001.5,0,0,6293,0,1414,0,1685.5,404.5,2821.5,0,164,127.5,24,867,0,715,114,598.5,950.5,830,2744.5,7679,95.5,3556,998,5024.5,2743.5,9017.5,1022.5,156,0
